[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][82/1874] Scanning asset: [1599208326.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][83/1874] Scanning asset: [1601040013.SR 3L2W-14 NP As Gr RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][84/1874] Scanning asset: [1601040013.SR 3L2W-18 P As RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][85/1874] Scanning asset: [1601040013.SR 2L1W-15 P Sb RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][86/1874] Scanning asset: [1601040013.SR 2L2W-15 P RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][87/1874] Scanning asset: [1601040013.SR 2L2W-15 P Sb RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][88/1874] Scanning asset: [1601040013.SR 2L1W-15 P RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][89/1874] Scanning asset: [1601040013.SR 2L2W-11 NP Tr RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][90/1874] Scanning asset: [1601040013.SR 2L2W-11 NP Gr RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][91/1874] Scanning asset: [1601040013.SR 2L2W-11 NP Sb RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][92/1874] Scanning asset: [1601040013.SR 2L2W-15 NP Bk RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][93/1874] Scanning asset: [1601040013.SR 2L1W-12 NP RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][94/1874] Scanning asset: [1601040013.SR 2L-12 Rnd RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][95/1874] Scanning asset: [1601040013.SR 1L-9 Rnd RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][96/1874] Scanning asset: [1608289031.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][97/1874] Scanning asset: [1608289031.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][98/1874] Scanning asset: [1628149008.UKR-MR RdSpL7_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][99/1874] Scanning asset: [1628149008.UKR-MR RdSpXL1_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][100/1874] Scanning asset: [1628149008.UKR-MR RdSpL6_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][101/1874] Scanning asset: [1628149008.UKR-MR RdSpL4_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][102/1874] Scanning asset: [1628149008.UKR-MR RdSpL5_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.343][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][103/1874] Scanning asset: [1628149008.UKR-MR RdSpL3_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][104/1874] Scanning asset: [1628149008.UKR-MR RdSpXL2_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][105/1874] Scanning asset: [1628149008.UKR-MR RdSpL1_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][106/1874] Scanning asset: [1628149008.UKR-MR RdSpL2_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][107/1874] Scanning asset: [1628149008.UKR-MR RdSpM1_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][108/1874] Scanning asset: [1628149008.UKR-MR RdSpS1_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][109/1874] Scanning asset: [1634589672.HighwayRampPillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][110/1874] Scanning asset: [1634589672.RoadSmallBridgePillar, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][111/1874] Scanning asset: [1642013076.LR 6L2W-28 P RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][112/1874] Scanning asset: [1642013076.LR 6L2W-23 DWL RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][113/1874] Scanning asset: [1642013076.LR 6L2W-28 NP Bk RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][114/1874] Scanning asset: [1642013076.LR 6L2W-26 NP Mn RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][115/1874] Scanning asset: [1642013076.LR 4L-18 Rnd RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
[2022-11-21 00:47:38.344][WE  ][v0.1.0 r10   ][INFO    ] [Asset loader][116/1874] Scanning asset: [1642013076.LR 6L2W-26 NP Tr RdSp_Data, Kwytto.Utils.IndexedPrefabData`1[BuildingInfo]] 
